Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Attendance Rate
7,99,Yes,9,1,91.0,97
4,82,No,4,2,65.0,81
8,51,Yes,7,2,45.0,80
5,52,Yes,5,2,36.0,84
7,75,No,8,5,66.0,80
3,78,No,9,6,61.0,78
7,73,Yes,5,6,63.0,96
8,45,Yes,4,6,42.0,80
5,77,No,8,2,61.0,76
4,89,No,4,0,69.0,89
8,91,No,4,5,84.0,85
8,79,No,6,2,73.0,81
3,47,No,9,2,27.0,69
6,47,No,4,2,33.0,52
5,79,No,7,8,68.0,67
2,72,No,4,3,43.0,68
8,73,Yes,8,4,67.0,74
6,83,Yes,7,2,70.0,87
2,54,Yes,4,9,30.0,59
5,75,No,7,0,63.0,68
1,99,Yes,4,3,71.0,98
6,96,No,9,0,85.0,88
9,74,Yes,7,6,73.0,86
1,85,No,5,6,57.0,66
3,61,No,6,3,35.0,65
7,62,Yes,7,4,49.0,76
4,79,No,8,9,66.0,72
9,84,Yes,6,6,83.0,93
3,94,Yes,6,5,74.0,80
5,90,Yes,4,3,74.0,83
3,61,Yes,7,3,39.0,66
7,44,Yes,9,1,36.0,87
5,70,Yes,6,9,58.0,79
9,52,Yes,8,1,47.0,65
7,67,Yes,9,3,60.0,87
2,97,Yes,9,4,74.0,74
4,59,No,8,3,42.0,75
9,72,No,8,2,68.0,65
2,55,Yes,4,1,32.0,56
9,68,No,5,3,64.0,83
5,62,No,7,4,45.0,81
2,63,Yes,6,0,39.0,73
4,73,Yes,7,0,58.0,78
7,46,No,9,5,36.0,67
8,77,Yes,6,4,71.0,71
3,76,Yes,4,3,54.0,71
1,43,Yes,7,0,17.0,58
4,73,No,4,6,54.0,87
2,81,Yes,4,3,58.0,82
8,61,No,7,2,53.0,61
4,44,Yes,7,6,27.0,69
2,89,Yes,6,1,65.0,78
6,81,No,9,9,75.0,80
6,62,Yes,9,0,52.0,82
4,93,No,8,3,78.0,97
6,99,No,4,7,91.0,100
2,54,Yes,9,5,33.0,61
2,70,Yes,5,8,47.0,72
4,98,No,6,0,78.0,90
8,48,No,6,0,38.0,80
7,82,Yes,8,4,70.0,80
9,97,Yes,8,5,98.0,94
8,92,Yes,4,7,87.0,81
5,64,Yes,6,2,49.0,65
2,64,Yes,6,5,41.0,80
5,88,No,5,2,71.0,97
